"Artifact","Rows","Columns","Source","GeneratedWith"
"workflow_fit_overview.csv",1,42,"summary(fit_toy)$overview","0.2.2"
"workflow_diagnostic_overview.csv",1,10,"summary(diag_toy)$overview","0.2.2"
"workflow_plot_components.csv",2,1,"names(plot(fit_toy, draw = FALSE))","0.2.2"
"workflow_next_actions.csv",7,5,"summary(res_toy)$next_actions","0.2.2"
"workflow_report_overview.csv",1,9,"summary(report_toy)$overview","0.2.2"
"workflow_export_files.csv",6,4,"head(export_toy$written_files)","0.2.2"
"workflow_summary_classes.csv",3,2,"class(summary(...))","0.2.2"
"workflow_plot_object_components.csv",3,2,"names(plot(..., draw = FALSE))","0.2.2"
"workflow_visual_checklist.csv",9,3,"reporting_checklist(...), Visual Displays","0.2.2"
